species_capture,visit_1,visit_2,visit_3
tuttle_pond_rana_catesbeiana_A2,0,1,1
tuttle_pond_rana_catesbeiana_A2A3,0,1,0
tuttle_pond_rana_catesbeiana_A2A4,0,1,0
tuttle_pond_rana_catesbeiana_A2B2,0,1,0
tuttle_pond_rana_catesbeiana_A2B3,0,1,0
tuttle_pond_rana_catesbeiana_A2B4,0,1,0
tuttle_pond_rana_catesbeiana_A3,0,1,1
tuttle_pond_rana_catesbeiana_A3A4,0,1,1
tuttle_pond_rana_catesbeiana_A3B2,0,1,0
tuttle_pond_rana_catesbeiana_A3B3,0,1,1
tuttle_pond_rana_catesbeiana_A3B4,0,1,1
tuttle_pond_rana_catesbeiana_A4,0,1,1
tuttle_pond_rana_catesbeiana_A4B2,0,1,0
tuttle_pond_rana_catesbeiana_A4B3,0,1,0
tuttle_pond_rana_catesbeiana_A4B4,0,0,1
tuttle_pond_rana_catesbeiana_B2,0,1,0
tuttle_pond_rana_catesbeiana_B2B3,0,0,1
tuttle_pond_rana_catesbeiana_B2B4,0,0,1
tuttle_pond_rana_catesbeiana_B3,0,1,0
tuttle_pond_rana_catesbeiana_B3B4,0,0,1
tuttle_pond_rana_catesbeiana_B4,0,1,0
